ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
267,Davis,IPS,DEF,4.5,2.81509,2.88989,2.86944,2.87269,3.00941,2.8236,2.84599
268,Delap,IPS,FWD,5.6,3.01377,2.81296,2.67872,2.57382,2.04797,2.39968,2.44432
269,Edmundson,IPS,DEF,4,0,0,0,0,0,0,0
270,Greaves,IPS,DEF,4,0.96952,1.00532,1.07997,1.01871,1.23668,1.02212,1.0991
271,Harness,IPS,MID,4.9,0,0,0,0,0,0,0
272,Hirst,IPS,FWD,5.4,0,0,0,0,0,0,0
273,Humphreys,IPS,MID,4.5,0,0,0,0,0,0,0
274,Hutchinson,IPS,MID,5.2,2.41522,2.41821,2.28911,2.34684,1.96305,2.24527,2.16554
275,Johnson,IPS,DEF,4,0.65388,0.9036,1.09391,1.07721,1.31828,1.0805,1.17006
276,Ladapo,IPS,FWD,4.5,0,0,0,0,0,0,0
277,Luongo,IPS,MID,4.5,0.65197,0.64139,0.64149,0.62751,0.56283,0.59408,0.61019
278,Morsy,IPS,MID,4.9,2.49885,2.47982,2.25781,2.42577,2.00012,2.33042,2.15756
279,Ndaba,IPS,DEF,4,0,0,0,0,0,0,0
280,Slicker,IPS,GK,4,0.00754,0.00759,0.00807,0.00832,0.01003,0.00765,0.00897
